Component,Exists,Used,FileSizeKB,HasTests,UsagePercentage,Status,NeedsOptimization
accordion,false,0,0,false,0.0,Not Implemented,false
alert,false,0,0,false,0.0,Not Implemented,false
alert-dialog,false,0,0,false,0.0,Not Implemented,false
avatar,false,0,0,false,0.0,Not Implemented,false
badge,false,0,0,false,0.0,Not Implemented,false
button,false,0,0,false,0.0,Not Implemented,false
calendar,false,0,0,false,0.0,Not Implemented,false
card,false,0,0,false,0.0,Not Implemented,false
carousel,false,0,0,false,0.0,Not Implemented,false
chart,false,0,0,false,0.0,Not Implemented,false
checkbox,false,0,0,false,0.0,Not Implemented,false
collapsible,false,0,0,false,0.0,Not Implemented,false
combobox,false,0,0,false,0.0,Not Implemented,false
command,false,0,0,false,0.0,Not Implemented,false
context-menu,false,0,0,false,0.0,Not Implemented,false
data-table,false,0,0,false,0.0,Not Implemented,false
date-picker,false,0,0,false,0.0,Not Implemented,false
dialog,false,0,0,false,0.0,Not Implemented,false
drawer,false,0,0,false,0.0,Not Implemented,false
dropdown-menu,false,0,0,false,0.0,Not Implemented,false
form,false,0,0,false,0.0,Not Implemented,false
hover-card,false,0,0,false,0.0,Not Implemented,false
input,false,0,0,false,0.0,Not Implemented,false
label,false,0,0,false,0.0,Not Implemented,false
menubar,false,0,0,false,0.0,Not Implemented,false
navigation-menu,false,0,0,false,0.0,Not Implemented,false
pagination,false,0,0,false,0.0,Not Implemented,false
popover,false,0,0,false,0.0,Not Implemented,false
progress,false,0,0,false,0.0,Not Implemented,false
radio-group,false,0,0,false,0.0,Not Implemented,false
resizable,false,0,0,false,0.0,Not Implemented,false
scroll-area,false,0,0,false,0.0,Not Implemented,false
select,false,0,0,false,0.0,Not Implemented,false
separator,false,0,0,false,0.0,Not Implemented,false
sheet,false,0,0,false,0.0,Not Implemented,false
skeleton,false,0,0,false,0.0,Not Implemented,false
slider,false,0,0,false,0.0,Not Implemented,false
sonner,false,0,0,false,0.0,Not Implemented,false
switch,false,0,0,false,0.0,Not Implemented,false
table,false,0,0,false,0.0,Not Implemented,false
tabs,false,0,0,false,0.0,Not Implemented,false
textarea,false,0,0,false,0.0,Not Implemented,false
toast,false,0,0,false,0.0,Not Implemented,false
toggle,false,0,0,false,0.0,Not Implemented,false
toggle-group,false,0,0,false,0.0,Not Implemented,false
tooltip,false,0,0,false,0.0,Not Implemented,false
